id,name,shelf_life,available,last_available,serving_unit,serving_size,protein,carbs,fat,fiber,energy,iron_mg,magnesium_mg,calcium_mg,potassium_mg,sodium_mg,vitamin_c_mg
93,jeera powder,730,t,2026-09-06 12:03:13.364406,g,100,17.81,44.24,22.27,10.50,375.00,66.36,931.00,931.00,1781.00,168.00,7.70
94,kale,7,f,2025-07-07 12:44:02.098519,g,100,4.28,8.75,0.93,3.60,49.00,1.47,56.00,254.00,348.00,53.00,93.40
95,kalpasi,730,t,2026-09-06 12:03:18.314771,g,100,6.00,53.00,35.00,18.00,476.00,5.00,30.00,80.00,200.00,20.00,0.00
195,Kambhu,365,f,2025-07-27 16:25:28.363293,g,100,11.60,67.50,4.90,11.30,361.00,8.00,125.00,42.00,370.00,17.00,0.00
96,kebabs,120,f,2025-07-07 12:44:02.098519,g,100,15.00,14.00,65.00,6.70,654.00,2.00,25.00,30.00,300.00,600.00,0.00
97,kefir,14,t,2026-09-06 12:03:22.916389,ml,100,3.50,4.60,2.90,0.00,59.00,0.10,12.00,120.00,150.00,40.00,0.00
232,kewra water,730,t,2026-09-06 12:03:21.333045,ml,100,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,0.00
98,kiwi,7,f,2025-07-03 18:23:11.312069,g,100,1.14,14.66,0.52,3.00,61.00,0.31,17.00,34.00,312.00,3.00,92.70
202,kodo millet,365,f,2025-07-30 19:50:35.055931,g,100,9.00,66.30,3.60,10.00,353.00,3.00,100.00,27.00,300.00,5.00,0.00
99,lamb,270,f,2025-07-07 12:44:02.098519,g,100,25.60,0.00,16.50,0.00,258.00,1.87,23.00,17.00,310.00,72.00,0.00
100,lemon,21,f,2025-07-07 12:44:02.09852,g,100,1.11,9.32,0.30,2.80,29.00,0.60,8.00,26.00,138.00,2.00,53.00
101,lemon juice,14,f,2025-07-07 12:44:02.098521,ml,15.0,0.06,1.00,0.04,0.05,3.30,0.01,1.20,0.90,15.30,0.15,5.80
102,lemon olive oil dressing,7,f,2025-07-07 12:44:02.098522,g,100,0.00,3.60,64.00,0.00,571.00,0.20,1.00,5.00,25.00,300.00,2.00
103,lentils,1095,t,2026-09-06 12:03:46.432037,g,100,9.02,20.13,0.38,7.90,116.00,3.32,36.00,19.00,369.00,2.00,1.50
104,lettuce,7,f,2025-07-07 12:44:02.098524,g,100,0.90,2.97,0.15,1.30,14.00,0.41,7.00,18.00,141.00,10.00,2.80
